DCode,CenDistrict,Name_G,Name_E,StateID,MDDS_Code
1,01,Sheopur ,Sheopur ,23,418
2,02,Morena,Morena,23,419
3,03,Bhind,Bhind,23,420
4,04,Gwalior,Gwalior,23,421
5,05,Datia,Datia,23,422
6,06,Shivpuri,Shivpuri,23,423
8,08,Tikamgarh,Tikamgarh,23,424
9,09,Chhatarpur,Chhatarpur,23,425
10,10,Panna,Panna,23,426
11,11,Sagar,Sagar,23,427
12,12,Damoh,Damoh,23,428
13,13,Satna,Satna,23,429
14,14,Rewa,Rewa,23,430
15,15,Umaria,Umaria,23,431
18,18,Neemuch ,Neemuch ,23,432
19,19,Mandsaur,Mandsaur,23,433
20,20,Ratlam,Ratlam,23,434
21,21,Ujjain,Ujjain,23,435
22,22,Shajapur,Shajapur,23,436
23,23,Dewas,Dewas,23,437
25,25,Dhar,Dhar,23,438
26,26,Indore,Indore,23,439
27,27,West Nimar (Khargone),West Nimar (Khargone),23,440
28,28,Barwani ,Barwani ,23,441
30,30,Rajgarh,Rajgarh,23,442
31,31,Vidisha,Vidisha,23,443
32,32,Bhopal,Bhopal,23,444
33,33,Sehore,Sehore,23,445
34,34,Raisen,Raisen,23,446
35,35,Betul,Betul,23,447
36,36,Harda ,Harda ,23,448
37,37,Hoshangabad,Hoshangabad,23,449
38,38,Katni ,Katni ,23,450
39,39,Jabalpur,Jabalpur,23,451
40,40,Narsinghpur,Narsinghpur,23,452
41,41,Dindori ,Dindori ,23,453
42,42,Mandla,Mandla,23,454
43,43,Chhindwara,Chhindwara,23,455
44,44,Seoni,Seoni,23,456
45,45,Balaghat,Balaghat,23,457
46,46,Guna,Guna,23,458
47,47,Ashoknagar,Ashoknagar,23,459
48,48,Shahdol,Shahdol,23,460
49,49,Anuppur,Anuppur,23,461
50,50,Sidhi,Sidhi,23,462
51,51,Singrauli,Singrauli,23,463
52,52,Jhabua,Jhabua,23,464
53,53,Alirajpur,Alirajpur,23,465
54,54,East Nimar (Khandwa),East Nimar (Khandwa),23,466
55,55,Burhanpur,Burhanpur,23,467
56,56,Agar Malwa,Agar Malwa,23,667
